No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
147,AIV,Apartment Investment and Management Company,Financial,REIT - Residential,USA,7.81B,8.60,52.14,0.62%,"892,735"
148,AFL,Aflac Incorporated,Financial,Accident & Health Insurance,USA,38.75B,12.69,52.32,0.83%,"3,951,025"
149,NTAP,"NetApp, Inc.",Technology,Data Storage Devices,USA,12.55B,13.41,52.51,-2.60%,"3,207,361"
150,FLIR,"FLIR Systems, Inc.",Technology,Scientific & Technical Instruments,USA,7.23B,26.07,52.59,-0.38%,"1,111,017"
151,DHI,"D.R. Horton, Inc.",Industrial Goods,Residential Construction,USA,19.59B,12.66,52.71,1.09%,"3,337,286"
152,ATVI,"Activision Blizzard, Inc.",Technology,Multimedia & Graphics Software,USA,42.06B,29.11,52.92,1.13%,"7,083,409"
153,CBRE,"CBRE Group, Inc.",Financial,Property Management,USA,17.94B,16.71,53.01,0.21%,"1,520,223"
154,XRAY,DENTSPLY SIRONA Inc.,Healthcare,Medical Instruments & Supplies,USA,12.06B,115.64,53.31,0.81%,"1,400,344"
155,BBT,BB&T Corporation,Financial,Regional - Southeast Banks,USA,40.88B,13.34,53.37,-0.17%,"6,651,102"
156,HFC,HollyFrontier Corporation,Basic Materials,Oil & Gas Refining & Marketing,USA,8.82B,10.09,53.64,0.11%,"1,260,109"
157,STX,Seagate Technology plc,Technology,Data Storage Devices,Ireland,14.17B,7.55,53.79,-0.03%,"2,010,166"
158,LNT,Alliant Energy Corporation,Utilities,Electric Utilities,USA,12.86B,25.22,53.93,-0.19%,"1,009,156"
159,LUV,Southwest Airlines Co.,Services,Regional Airlines,USA,29.16B,12.51,54.01,-0.61%,"3,712,839"
160,KO,The Coca-Cola Company,Consumer Goods,Beverages - Soft Drinks,USA,233.13B,32.19,54.44,0.24%,"9,391,335"
161,FBHS,"Fortune Brands Home & Security, Inc.",Consumer Goods,Home Furnishings & Fixtures,USA,7.63B,19.12,54.70,0.40%,"786,260"
162,ORCL,Oracle Corporation,Technology,Application Software,USA,180.52B,18.33,55.03,1.74%,"17,442,598"
163,GIS,"General Mills, Inc.",Consumer Goods,Processed & Packaged Goods,USA,33.39B,17.88,55.12,0.46%,"2,608,247"
164,WBA,"Walgreens Boots Alliance, Inc.",Services,Drug Stores,USA,49.65B,11.24,55.31,1.65%,"3,218,348"
165,MDLZ,"Mondelez International, Inc.",Consumer Goods,Confectioners,USA,80.21B,22.13,55.32,-0.13%,"4,408,083"
166,USB,U.S. Bancorp,Financial,Regional - Midwest Banks,USA,87.43B,13.00,55.34,-0.16%,"4,400,812"
167,RHI,Robert Half International Inc.,Services,Staffing & Outsourcing Services,USA,6.59B,14.57,55.66,1.90%,"845,960"
168,AIG,"American International Group, Inc.",Financial,Property & Casualty Insurance,USA,48.81B,-,55.70,-0.82%,"3,423,744"
169,TJX,"The TJX Companies, Inc.",Services,Department Stores,USA,67.87B,22.59,55.74,1.66%,"4,415,419"
170,LEN,Lennar Corporation,Industrial Goods,Residential Construction,USA,17.83B,9.56,55.85,2.07%,"3,565,593"
171,PRGO,Perrigo Company plc,Healthcare,Drug Related Products,Ireland,7.60B,87.19,55.89,1.66%,"623,323"
172,COP,ConocoPhillips,Basic Materials,Independent Oil & Gas,USA,64.16B,9.21,56.98,-1.59%,"5,921,768"
173,DVA,DaVita Inc.,Healthcare,Specialized Health Services,USA,9.10B,17.36,57.07,1.33%,"1,549,187"
174,PFG,"Principal Financial Group, Inc.",Financial,Life Insurance,USA,15.94B,10.74,57.14,-0.40%,"951,503"
175,TAP,Molson Coors Brewing Company,Consumer Goods,Beverages - Brewers,USA,12.41B,13.93,57.50,0.05%,"1,541,574"
176,DAL,"Delta Air Lines, Inc.",Services,Major Airlines,USA,37.77B,8.55,57.60,-1.17%,"5,206,534"
177,MXIM,"Maxim Integrated Products, Inc.",Technology,Semiconductor - Broad Line,USA,16.02B,18.97,57.91,1.21%,"1,124,180"
178,FSLR,"First Solar, Inc.",Technology,Semiconductor - Specialized,USA,6.54B,487.48,58.01,-0.77%,"2,799,647"
179,MNST,Monster Beverage Corporation,Consumer Goods,Beverages - Soft Drinks,USA,31.61B,30.22,58.06,0.43%,"1,472,369"
180,STT,State Street Corporation,Financial,Asset Management,USA,22.25B,10.92,59.19,-1.02%,"1,952,269"
181,WDC,Western Digital Corporation,Technology,Data Storage Devices,USA,18.04B,-,59.64,-1.41%,"3,786,565"
182,CTSH,Cognizant Technology Solutions Corporation,Technology,Information Technology Services,USA,33.80B,16.74,60.26,2.58%,"4,399,520"
183,LNC,Lincoln National Corporation,Financial,Life Insurance,USA,12.15B,8.52,60.32,-0.97%,"1,019,966"
184,VZ,Verizon Communications Inc.,Technology,Telecom Services - Domestic,USA,250.21B,15.78,60.36,0.10%,"9,396,235"
185,HES,Hess Corporation,Basic Materials,Independent Oil & Gas,USA,18.89B,-,60.48,0.58%,"2,440,311"
186,HIG,"The Hartford Financial Services Group, Inc.",Financial,Property & Casualty Insurance,USA,21.97B,14.00,60.61,0.26%,"1,627,646"
187,MPC,Marathon Petroleum Corporation,Basic Materials,Oil & Gas Refining & Marketing,USA,40.22B,13.17,60.75,-2.68%,"9,310,524"
188,SO,The Southern Company,Utilities,Electric Utilities,USA,64.66B,14.64,61.77,0.00%,"3,433,898"
189,PEG,Public Service Enterprise Group Incorporated,Utilities,Diversified Utilities,USA,31.53B,21.50,62.08,0.16%,"2,198,912"
190,BF-B,Brown-Forman Corporation,Consumer Goods,Beverages - Wineries & Distillers,USA,29.51B,41.09,62.78,0.18%,"2,425,910"
191,CVS,CVS Health Corporation,Healthcare,Health Care Plans,USA,82.05B,18.17,63.07,1.59%,"6,382,057"
192,GILD,"Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - Major,USA,80.78B,13.69,63.38,0.76%,"8,290,007"
193,HSIC,"Henry Schein, Inc.",Services,Medical Equipment Wholesale,USA,9.41B,20.17,63.50,1.47%,"964,337"
